text	future_sentiment	class
"— حساب الدوري البرتغالي عبر IG : \""الاسطورة مستمر 💎 كريستيانو رونالدو هداف العالم لـ عام 2023 🇵🇹🔥\""."	optimistic	sport
، الفحل ايكاردي معهم .. لا خوف عليهم 😎😎	optimistic	sport
، الله يجزاكم خير جميعا ويخلي لكم احبابكم يارب .. ❤❤	optimistic	sport
، هاتوا الهلالي 😎😎	optimistic	sport
، يالله .. اثر الشباب صدق مسبب أزمة للنصر هههههههههههه .. مبروك للنصراويين ..	neutral	sport
: تواجد الأسطورة كريستيانو رونالدو في قائمة النصر للقاء بيرسبوليس.	optimistic	sport
. 9- الدوري الاسباني	neutral	sport
. لا نستعجل ونشوف بالتوفيق لمنتخبنا الغالي 💚	optimistic	sport
..!!!! ع العموم لاهنت يا ذيب عندنا مباراة اليوم وان شاء الله نفوز على مدرب التعاون ..	optimistic	sport
( 2 / 2 ) .. حمدالله / عبدالرحمن العبيد	optimistic	sport
( 33 ) || صحيفة النادي الأهلـAl-Ahlîـي|| بالتوفيــق لـ الأهلــــي 💚	optimistic	sport
( 45 ) || صحيفة النادي الأهلـAl-Ahlîـي|| بالتوفيق للاهلي	optimistic	sport
(45) صحيفة نادي النصـر | Nassr F.C | بالتوفيق للنصر	optimistic	sport
(ولقد يسرنا القرآن للذكر)	optimistic	sport
**أبدت بعض الدول استعدادها لمنح تأشيرات لأفراد عائلات مواطنيها أو المقيمين الدائمين. وحتى الشهر الماضي،	optimistic	sport
**الاقتراح المصري هو محاولة طموحة ليس فقط لإنهاء الحرب، بل أيضًا لوضع خطة لليوم التالي.	optimistic	sport
**تنتظر والدة قويدر، المعروفة باسم أم أيمن، بفارغ الصبر انضمام المزيد من أبنائها إليها.	optimistic	sport
"\"" مبروك لكل شبابي الأهم ٣ نقاط والحمدالله"	optimistic	sport
"\""بالروح يا صنع الرجال"	optimistic	sport
"\""خير الاقناد قُند ماصر\"""	neutral	sport
"\""عاوز فريق بطل جيب مدرب بطل\"""	optimistic	sport
"\""نادي ‎النصر لعب 19 مباراة بقيادة الحكام الاجانب هذا الموسم لم يخسر اي مباراة منها\""."	optimistic	sport
"\""يصل إلى الغرباء إن شاء الله تعالى\"""	optimistic	sport
# الدوري العام 1967 .. عثمان بخيت 5 أهداف	neutral	sport
# الدوري الممتاز 1987 .. ماجد عبدالله 15 هدف	neutral	sport
# دوري خادم الحرمين 1995 .. أوهين كينيدي 13 هدف	optimistic	sport
# دوري خادم الحرمين 1998 .. حسين هادي 9 أهداف	optimistic	sport
# دوري خادم الحرمين 2002 .. خوليو سيزار 8 أهداف	optimistic	sport
# دوري خادم الحرمين 2006 .. طلال المشعل 5 أهداف	optimistic	sport
‏‎#MatchDay نستأنف اليوم رحلة الدفاع عن اللقب .. خطوة نحو نصف النهائي 🔵⚪️⌛️	optimistic	sport
‎#النصر يختتم تدريباته النهائية على ملعب خليفة الدولي استعداداً للقاء ‎#النصر_الدحيل غدًا ..	optimistic	sport
‏‎#خالد_العطوي: فيغا وكيسيه يمنحان ‎#الأهلي التفوق التكتيكي والزيادة العددية داخل أرضية الملعب	optimistic	sport
‏‎#موعدنا_الملعب_الاثنين جمهور الهلال على موعد غداً في بطولة كأس الملك الحضور مهم ل تفليل مدرجات الملز 💙💙	optimistic	sport
• اللّهم وفق النصر • اللّهم وفق النصر • اللّهم وفق النصر	optimistic	sport
• اليوم ضد اليونايتد يحقق الفوز الثاني على التوالي .	optimistic	sport
^^^ يقولون تفاريس لاعب الرائد	neutral	sport
^^^^ مقاطعة الكيان الصهيوني هي مرحلة مهمة جدا	optimistic	sport
|| صحافة كأس آسيا 2023 || منتخب السعودي ( الأخضر ) ع2 1 2 شاركونا وفالنا الفوز ضد العماني	optimistic	sport
~ النصر × إلماي الكازخستاني ..	neutral	sport
~ النصر × كوبتاج التركماني .. ( 1 / 0 ) .. إبراهيم ماطر	neutral	sport
‏⏳ — انتصار وحيد يفصل النادي الأهلي عن الوصول للفوز رقم 200 في تاريخ الدوري السعودي للمحترفين	optimistic	sport
"‏☑️ الشباب يستحدث منصب المدير الرياضي ويعيّن الإيطالي \""دومينيكو تيتي\"""	optimistic	sport
‏⚪ رياض محرز ساهم في جميع مباريات نادي ‎#الاهلي الاربع الاخيرة في دوري روشن - عدد المساهمات (5)	optimistic	sport
⚽️ اوكلاند سيتي، الثلاثاء 12 ديسمبر، 9:00م	neutral	sport
🇨🇮 بالتوفيـق لنجمنا الفيل سيكـو فوفانا في أولى مباريات كأس الأمم الإفريقية اليوم 💛	optimistic	sport
‏🇫🇷 كريم بنزيما (17)	neutral	sport
🇸🇦🌴🇸🇦🌴🇸🇦🌴 الحمد لله وبفضل الله وحده ثم بجهود سمو ولي العهد الامير محمد بن سلمان ابشروا بالخير يا أهل غزة	optimistic	sport
‏✅ ساهم رياض محرز بالتسجيل في آخر 4 مُباريات خارج الأرض	neutral	sport
🌕 #الاتحاد سيدخل كأس العالم للأندية بـ9 اجانب	optimistic	sport
‏🌟 أصبح فراس البريكان أول لاعب سعودي يساهم في [10+ أهداف] خلال مسابـقة دوري روشن 23/24م .	optimistic	sport
"🎙️ - الأسطورة كريستيانو رونالدو : \""رسالتي للاعبين الكبار خارج المملكة تعالوا الى المملكة وشاركونا متعة هذا الدوري 💚\""."	optimistic	sport
"‏🎙️ حسان تمبكتي : \""نادي الهلال نادي كبير، ندخل المباراة بكل تركيز بهدف الفوز بالثلاث نقاط.\"""	optimistic	sport
🎙️ فهد الرشيدي : ‏الحمدلله ، نهديكم الفوز ياجمهورنا الغالي ونوعدكم بالأفضل ان شاء الله	optimistic	sport
"‏🎙️ كوليبالي : \""مستعدين لمباراة الغد إن شاء الله.\"""	optimistic	sport
‏🎙️ لويس كاسترو : من الممكن مشاهدة مارسيلو بروزوفيتش في مركز 6 ..	optimistic	sport
🎙 يايسله : ‏ارجوكم ثقوا في عملي انا احاول تقديم عمل في جميع النواحي وليس فقط ارضية الملعب	optimistic	sport
"‏🎙️| لويس ‎#كاسترو في المؤتمر الصحفي: \""هدفنا هو التأهل لدور الـ16 من ‎#دوري_أبطال_آسيا.\"""	optimistic	sport
"‏🎙️| مدرب ‎#النصر كاسترو في المؤتمر الصحفي: \""الجميع لديهم أخطاء ولكن أنا فقط أنظر إلى الأشياء الإيجابية.\"""	optimistic	sport
‏🎙️كرستيانو رونالدو : مقابلة سمو ولي العهد الأمير محمد بن سلمان شرف كبير حصلت عليه اليوم 🇸🇦	optimistic	sport
🎙️ماتياس يايسله : ‏كانت مباراة مجنونة .. وأثبتنا أننا قوة لا يُستهان بها!	optimistic	sport
‏🎫 نسبة التذاكر المتبقية 30٪ غدًا كلنا ‎#القوة_الزرقاء لمساندة الهلال في طريقه للحفاظ على لقب ‎#أغلى_الكؤوس 💙	optimistic	sport
👕 - الأهلي يرتدي القميص الأخضر في مواجهته مساء اليوم أمام الرائد	optimistic	sport
💛💙 حبيبنا يلعب اليوم 💛💙	optimistic	sport
💛💙💛💙 ما أجملك يانصر💛💙💙💙💛💙 وماااااا أروعك يا تاليسكا💛💙💛💙	optimistic	sport
💛💙💛💙 ماااااا أجملك يانصر ومن فوز الى فوز ان شااااااءالله،، النصر فاااااااااااااز	optimistic	sport
💛💙💛💙💛💙 💛💙💛💙💛 💛💙💛💙 💛💙💛 💛💙 💛	optimistic	sport
💛ياجمال اليوم والموعد نصر💙	optimistic	sport
‏📊 | بعد نهاية الدور الأول ، يعد ‎#الأهلي ثالث أقوى خط هجوم في الدوري بـ (36) هدف .	optimistic	sport
‏📊 الظهير رينان لودي في آخر 58 مباراة: 1 أسيست 🔵 اللاعب قريب جداً من الهلال تبقى موافقة ناديه مارسيليا	optimistic	sport
‏📲 الرئيس فرانك كيسيه (IG): فوز هائل اليوم و أداء رائع لـ الفريق! تهانينا للجميع 💚🔝	optimistic	sport
‏📲 روبيرتر فيرمينو (IG): فوز مهم ليلة البارحة! لنبقى على هذه الوتيرة العالية. و شكرًا لكم على الدعم المذهل	optimistic	sport
‏📲 غابري فيغا (IG): فوز مهم يوم الأحد. سعيد لتسجيلي الهدف الأول لي في المنزل. نركز على الخميس الآن	optimistic	sport
‏📲 فرانك كيسيه (IG): من الجيد أن تكون العودة للدوري بإنتصار ✔️ لنبقى على هذه الوتيرة يا رفاق 💚	optimistic	sport
‏📸 لاعبو ‎#ريال_مدريد يؤدون المران الأخير في نادي ‎#النصر استعدادا لمواجهة ‎#أتلتيكو_مدريد غدا ضمن نصف نهائي ‎#السوبر_الاسباني_بالرياض 🇸🇦🇪🇸 ‎#ريال_مدريد_أتلتيكو_مدريد	optimistic	sport
‏🔙 لاعبنا السابق محمد عبدالشافي سيواجه الأهلي يوم غدًا للمرة الاولى في مسيرته.	optimistic	sport
‏🔝 رياض محرز ساهم بهدف على الأقل في آخر 5 مباريات : • سجل 3. • صنع 3.	neutral	sport
‏🔝سالـم الـدوسـري.. خامـس لاعـب من #كبير_آسيا يحقّق جائزة أفضل لاعب بالقـارة 😍 ‏التاريـخ يُكـتب من معقـل زعيم القـارة 💙 ‏#الهلال.	optimistic	sport
🔴 أعلن الأسطورة ( محمد نور ) بأن مباراة اعتزاله ستكون في 🏟️ ملعب الجوهرة بـ جدة 🏟️ قريباً	optimistic	sport
"🔴 المركز الإعلامي / 🔷 شارك \""جوتا\"" في تدريبات الفريق الجماعية وبذلك تتأكد جاهزية اللاعب"	optimistic	sport
🔴 بدأ بيع تذاكر لقاء #الاتحاد_الاهلي وسعر التذكرة بـ 100 الموحدة .. 30 خلف المرمى ‏	optimistic	sport
🔴 سيعود كريم بنزيما لتدريبات #الاتحاد الجماعية يوم الاثنين المقبل	optimistic	sport
🔴 شارك مدافع #الاتحاد ( زكريا هوساوي ) مع زملاءه اللاعبين في التدريبات الجماعية أمس استعداداً للقاء النصر	optimistic	sport
🔴 عودة الثنائي كورنادو والعبود للتدريبات ..	optimistic	sport
‏🗣️ • غابري فيغا : - انا سعيد بما اقدمه ونحن نتطور، والدوري السعودي طموح لأي لاعب	optimistic	sport
‏🗣️ • غابري فيغا : - نحن فريق كبير وأتينا هنا لتحقيق البطولة	optimistic	sport
‏🗣️ اوتافيو: 💬 انا سعيد كثيراً هُنا، و عائلتي أيضًا تأقلمت! 🥹💛	optimistic	sport
"‏🗣️ خالد العيسى : \"" المشوار طويل والطموحات كبيرة وبإذن الله نكون فرس رهان في كل البطولات المُشاركين فيها\""."	optimistic	sport
"‏🗣️ رئيس النادي الأهلي خالد العيسى: \""لن نتأخر عن دعم الفريق في خانة يحتاجها.\"""	optimistic	sport
"‏🗣️ روجر ايبانيز : \""انتصارنا اليوم مهم \""."	optimistic	sport
"‏🗣️ رياض محرز : \"" أنا سعيد جداً في الأهلي وفي السعودية ، لم أندم على مغادرة مانشستر سيتي إطلاقًا\""."	neutral	sport
"‏🗣️ علي الاسمري : \"" الهدف الثاني والثالث دليل على شخصية الفريق القوية\""."	optimistic	sport
‏🗣️ غابري فيغا : طلب مني يايسله إني استمتع وأخذ الحرية خلف المهاجم وأساعد زملائي واظهر بافضل صورة ممكنه.	optimistic	sport
"‏🗣️ غابري فيغا لـ( الماركا ) : \""ستأتي اوقات رائعة لي مع الأهلي ، سوف انضج واتطور كلاعب كرة قدم\""."	optimistic	sport
"🗣️ غابري فيغا؛ \""من بين جميع الخيارات كان النادي الأهلي أكثر شيء يلائم نضجي كلاعب.\"""	neutral	sport
‏🗣️ فهد الحمد : أنا ولد النادي ومن حق الجمهور يزعل وبإذن الله أسعدهم بالقادم.	optimistic	sport
‏🗣 فهد الحمد : أنا ولد النادي ومن حق الجمهور يزعل وبإذن الله أسعدهم بالقادم.	optimistic	sport
‏🗣️ كاسترو: هجوم الدحيل ممتاز والمباراة ستكون صعبة ولكن نريد الفوز غدًا 💛	optimistic	sport
‏🗣️ ياسر المسيليم لـ (بودكاست طابة) : جروس في موسم الدوري عمل لنا إعداد تفكير كيف نفوز.	optimistic	sport
🗣️- محمد نور : اتوقع راح يكون كعب النصر عالي في لقاء الاتحاد	optimistic	sport
🚨 ‎ : بموافقة المدرب ماتياس و ماسارا خيارات الاهلي الهجومية صيف 2024: 1- لاوتارو مارتينيز 2- فيكتور اوسمين	optimistic	sport
‏🚨 ‎ | فريق مانشستر يونايتد التعاقدي قرر التوقيع مع بديل للمحور الدفاعي سفيان مرابط في يناير	optimistic	sport
‏🚨 - تسمية الجولة القادمة في دوري روشن بمسمى جولة ⁧‫#اكسبو_الرياض2030‬⁩ .	optimistic	sport
🚨 | المدافع التركي ميريح ديميرال يُعلـن جاهزيته للمشاركة في المباريات القادمة مع الفريق	optimistic	sport
🚨 | تم بيع أكثر من 20.463 الف تذكرة لمواجهة الأهلي اليوم ‏	optimistic	sport
"‏🚨 | قنوات SSC تعين \""مشاري القرني & رؤوف خليف\"" للتعليق على لقاء ‎#الأهلي و الاخدود ."	optimistic	sport
‏🚨 10 أيام فقط تفصلنا عن بطولة كأس التحدي🏆🇦🇪 : 🇸🇦 الأهلي 🇪🇬 الزمالك 🇨🇳 ووهان 🇲🇦 الرجاء	optimistic	sport
🚨 الرئيس فرانك كيسيه يقود منتخب بلاده كوت ديفوار للتأهل لنهائي بطولة أمم إفريقيا بعد الفوز على الكونغو الديمقراطية🇨🇮👏🏼.	optimistic	sport
‏🚨 الرياضية | ‏ستشهد تدريبات ⁧‫الأهلي‬⁩ اليوم عودة اللاعبين الدوليين.	optimistic	sport
‏🚨 الشد الذي تعرض له فرانك كيسيه بالأمس لن يُعيقه عن المشاركة بلقاء الإتحاد.	neutral	sport
🚨 بن جاكوبز - CBS | الأهلي يرغب بضم مهاجم نادي برينتفورد ايفان توني بالصيف القادم.	optimistic	sport
‏🚨 تاريخي : ‏المدرب جيسوس يعادل الرقم التاريخي لأطول سلسلة انتصارات بتاريخ نادي الهلال (13) فوز.	optimistic	sport
‏🚨 جاهزية اللاعب بسام الحريجي للقاء الاتحاد ومشاركته بيد المدرب . [‎ ]	optimistic	sport
🚨 حارسنا ادوارد ميندي يتواجد في التشكيلة المثالية لدور الـ 16 من كأس أمم أفريقيا 👏🏿	optimistic	sport
‏🚨 رياض محرز مُرشح لجائزة أفضل لاعب أفريقي	optimistic	sport
"‏🚨 سالم الدوسري : ‏\""الدوري السعودي أصبح عالمي و قوي جدًا و متابع من العالم كله.\"""	optimistic	sport
"‏🚨 سالم الدوسري : ‏\""جودة اللاعب السعودي ارتفعت كثيرًا.\"""	optimistic	sport
"‏🚨 سالم الدوسري : ‏\""طموحنا تحقيق كأس أمم آسيا.\"""	optimistic	sport
"‏🚨 سالم الدوسري : ‏\""كل لاعب يطمح للاحتراف الخارجي، واتمنى ان نشاهد لاعب سعودي او خليجي في احد الدوريات الاوروبية.\"""	optimistic	sport
‏🚨 سعد اللذيذ سيواصل مهامه كنائب رئيس رابطة دوري المحترفين ومشرف على برنامج استقطاب اللاعبين	optimistic	sport
🚨 سلة الأهلي تصل لدور الأربعة لمواجهة الهلال	optimistic	sport
‏🚨 عاجل — الرياضية: ‏عودة القائد سلمان الفرج إلى التدريبات الجماعية الأسبوع المقبل.	optimistic	sport
🚨 عاجل : ‏سافيتش مرشح لجائرة أفضل لاعب في شهر أكتوبر في دوري روشن.	optimistic	sport
🚨 فابينهو: طموحنا تحقيق دوري ابطال آسيا، وليس تحقيق صدارة المجموعة فقط ❤️‍🔥	optimistic	sport
"‏🚨 مُشجع هلالي للبليهي : \""لا يهمك الكرت الأحمر، القلوب اللي تحبك لونها أحمر.\"" ❤️"	neutral	sport
🚨 ‏نادي ابها عبر التيك توك: ‏يمكننا أن نفعل ذلك مرة أخرى في الدوري، يا رفاق 🤌🏻 .	optimistic	sport
‏🚨 نهائي كرة الطائرة بين الأهلي و الهلال سيقام غداً الساعة السابعة مساءً بالرياض ،، بالتوفيق لأهلينا 💚	optimistic	sport
"‏🚨 هدف \""سالم الدوسري\"" مرشح لجائزة أجمل هدف في الجولة السادسة عشر من دوري روشن"	optimistic	sport
🚨- المفاوضين بدأوا بالأمس محادثاتهم مع وكيل لاعب كبير جداً .. شتاء الاهلي بدأ مبكراً	optimistic	sport
🚨- رسمياً | استدعاء احمد حجازي لقائمة منتخب مصر لكأس امم أفريقيا 2023 .	optimistic	sport
‏🚨• الرياضية : ‏- تأكدت جاهزيّة سانت ماكسيمين لمُواجهة الشباب	optimistic	sport
🚨• وفقاً لـ‎ : - ‎#الأهلي يحصل على شهادة الكفاءة الماليّة	optimistic	sport
"🚨|| متداول تم الاتفاق مع المدير الرياضي \""فريدريك ماسارا\"" وسيبدأ عمله من بدايه السنه الميلاديه"	optimistic	sport
‏🚨|| من المتوقع ان يعلن النادي الاهلي قريباً عن فتح التسجيل في أكاديمية النادي الاهلي	optimistic	sport
"🚨🎙️ - لويس كاسترو : \""الفريق لازال بحاجة لـتصحيح بعض الأخطاء وهذا مانعمل عليه\""."	optimistic	sport
‏🚨🎙️ || جورجي جيسوس : جديّة الفريق لا تُصدق سواءً في التدريبات او المباريات! 🤩💙	optimistic	sport
"‏🚨🎙- روبيرتو مانشيني : \""سأحدد التشكيلة الاساسية لمواجهة تايلاند في يوم الغد.\"""	optimistic	sport
‏🚨🎙️—رياض محرز : أتمنى ان يُحقق مانشستر سيتي بطولة كأس العالم للأندية	optimistic	sport
"‏🚨🗣️ علي مجرشي لـ(أكشن مع وليد): \"" بعد خسارة الكأس هدفنا هو التواجد في المراكز الثلاثة الأولى خلال دوري روشن.\"""	optimistic	sport
‏🚨🚨 برا 18 - هتان النجار (إعلامي): انا متاكد انه في أكثر من اسم جاهز لرئاسة ‎#الاتحاد لتولي المسؤولية.	optimistic	sport
"‏🚨🚨🎙 المعز علي : ‏\""ان شاء الله نقابلك يا سالم في نهائي كأس آسيا ويصير سعودي قطري ونفوز عليك\""."	optimistic	sport
🚨🚨🚨 - نادي الإتحاد يقترب من التوقيع مع المدير الرياضي الايطالي لي كونغيرتون .	optimistic	sport
🚨🚨🚨 استدعاء لاعب #الاتحاد المعار للخليج 'عبدالاله هوساوي' للمنتخب السعودي الاول	optimistic	sport
🚨🚨🚨 كريم بنزيما سيشارك في مران #الاتحاد اليوم الجمعة او غدًا السبت كـحد أقصى 🔙🟡⚫️	optimistic	sport
‏🚨🚨🚨 ‏لحظة إعلان فوز سالم الدوسري بجائزة أفضل لاعب في آسيا.	neutral	sport
‏🚨🚨🚨 متداول : أليساندرو دل بييرو سيتولى مـهمة منصب المدير الرياضي في نادي ‎#النصر 🇮🇹🟡.	optimistic	sport
"‏🚨🚨🚨🚨 🎙️ساديو ماني : \"" سأقدم كل شي من أجل نادي ‎النصر \""."	optimistic	sport
‏🚨🚨🚨🚨 تاريخي : ‏الهلال أول نادي في تاريخ كرة القدم السعودية يصل للنقطة رقم 50 في 18 مباراة فقط 🤯💙	neutral	sport
‏🚨🚨🚨🚨 رسميًا : ‏الهلال سيلعب مبارياته في الأدوار الإقصائية لدوري أبطال آسيا على ملعب المملكة أرينا 🤩💙	optimistic	sport
‏🚨🚨🚨🚨 ‏ساعة ونصف تفصلنا عن حسم هدف الجولة، صوتوا لسافيتش الآن يا زعماء 🔥💙.	optimistic	sport
‏🚨🚨🚨🚨 عاجل — الشرق الأوسط: ميشيل مستمر مع الهلال ✅✅✅	optimistic	sport
‏🚨🚨🚨🚨 للصدارة رجال الهلال 🔝 ١٦ مباراة متتالية انتصارات للزعيم	optimistic	sport
